timestamp,power_w
2025-11-30T21:13:13.837596,66.7
2025-11-30T21:13:14.783500,73.2
2025-11-30T21:13:15.798108,78.6
2025-11-30T21:13:15.807264,78.6
2025-11-30T21:13:16.786870,83.1
2025-11-30T21:13:17.794719,88.3
2025-11-30T21:13:17.799742,88.3
2025-11-30T21:13:18.782358,103.7
2025-11-30T21:13:19.782229,107.4
2025-11-30T21:13:20.785746,75.9
2025-11-30T21:13:21.793095,55.4
2025-11-30T21:13:21.803808,55.4
2025-11-30T21:13:22.535136,55.4
2025-11-30T21:13:22.783755,45.5
2025-11-30T21:13:23.782523,50.2
2025-11-30T21:13:24.784857,66.6
2025-11-30T21:13:25.806584,65.8
2025-11-30T21:13:26.782135,58.6
2025-11-30T21:13:27.787145,56.7
2025-11-30T21:13:32.657691,57.9
2025-11-30T21:13:42.589359,57.7
2025-11-30T21:13:42.789141,43.8
2025-11-30T21:13:43.791505,29
2025-11-30T21:13:43.833667,29
2025-11-30T21:13:44.778453,34.4
2025-11-30T21:13:45.792832,36.9
2025-11-30T21:13:45.797897,36.9
2025-11-30T21:13:46.782259,38.8
2025-11-30T21:13:47.791562,41
2025-11-30T21:13:47.796760,41
2025-11-30T21:13:52.533636,41.8
2025-11-30T21:14:00.003103,41.7
2025-11-30T21:14:01.789785,54.6
2025-11-30T21:14:01.796593,54.6
2025-11-30T21:14:02.531323,54.6
2025-11-30T21:14:02.777409,185.4
2025-11-30T21:14:03.792384,298.6
2025-11-30T21:14:03.799535,298.6
2025-11-30T21:14:04.777348,389.9
2025-11-30T21:14:05.789399,432.1
2025-11-30T21:14:05.794878,432.1
2025-11-30T21:14:06.783333,387.8
2025-11-30T21:14:07.790765,339.7
2025-11-30T21:14:07.796721,339.7
2025-11-30T21:14:08.779600,301.1
2025-11-30T21:14:09.788625,262.8
2025-11-30T21:14:09.799247,262.8
2025-11-30T21:14:10.775893,212.5
2025-11-30T21:14:11.816379,181.1
2025-11-30T21:14:11.824941,181.1
2025-11-30T21:14:12.530992,181.1
2025-11-30T21:14:12.777500,154.4
2025-11-30T21:14:13.790292,133.2
2025-11-30T21:14:13.795179,133.2
2025-11-30T21:14:14.775446,121.3
2025-11-30T21:14:15.792125,114.9
2025-11-30T21:14:15.797165,114.9
2025-11-30T21:14:16.776710,104.3
2025-11-30T21:14:17.775640,100.1
2025-11-30T21:14:18.774825,97
2025-11-30T21:14:19.789191,91.2
2025-11-30T21:14:19.794113,91.2
2025-11-30T21:14:21.775109,85
2025-11-30T21:14:22.545659,85
2025-11-30T21:14:22.777045,71.5
2025-11-30T21:14:23.787879,65.1
2025-11-30T21:14:23.792803,65.1
2025-11-30T21:14:25.794118,59.9
2025-11-30T21:14:25.805999,59.9
2025-11-30T21:14:26.776654,66.7
2025-11-30T21:14:27.790358,78.5
2025-11-30T21:14:27.796816,78.5
2025-11-30T21:14:28.779404,23.6
2025-11-30T21:14:29.777130,23.7
2025-11-30T21:14:32.558475,23.4
2025-11-30T21:14:32.776918,16.4
2025-11-30T21:14:33.811252,15.7
2025-11-30T21:14:34.774808,20
2025-11-30T21:14:35.787512,40.4
2025-11-30T21:14:35.793613,40.4
2025-11-30T21:14:42.593320,40.4
2025-11-30T21:14:47.820492,88.6
2025-11-30T21:14:47.825618,88.6
2025-11-30T21:14:48.772552,224.8
2025-11-30T21:14:49.787182,306.9
2025-11-30T21:14:49.795064,306.9
2025-11-30T21:14:51.785724,279.3
2025-11-30T21:14:51.790970,279.3
2025-11-30T21:14:52.541879,279.3
2025-11-30T21:14:53.787425,244.9
2025-11-30T21:14:53.793022,244.9
2025-11-30T21:14:55.785479,229.1
2025-11-30T21:14:55.797422,229.1
2025-11-30T21:14:56.770835,213.5
2025-11-30T21:14:57.771084,212
2025-11-30T21:14:59.987145,209.7
2025-11-30T21:15:00.776597,202.3
2025-11-30T21:15:01.772291,199.6
2025-11-30T21:15:02.545791,199.6
2025-11-30T21:15:09.835201,212.7
2025-11-30T21:15:09.840383,212.7
2025-11-30T21:15:11.785605,198.8
2025-11-30T21:15:11.790652,198.8
2025-11-30T21:15:12.532145,198.8
2025-11-30T21:15:12.772775,7.5
2025-11-30T21:15:13.810063,6.9
2025-11-30T21:15:17.823881,15.2
2025-11-30T21:15:17.828881,15.2
2025-11-30T21:15:18.772197,26.6
2025-11-30T21:15:19.805443,25.3
2025-11-30T21:15:20.770349,22.3
2025-11-30T21:15:22.526304,22.5
2025-11-30T21:15:26.834383,12.7
2025-11-30T21:15:27.782767,11.4
2025-11-30T21:15:27.787901,11.4
2025-11-30T21:15:28.772666,13.1
2025-11-30T21:15:32.562217,13
2025-11-30T21:15:32.799390,107.7
2025-11-30T21:15:33.817100,30.8
2025-11-30T21:15:33.823608,30.8
2025-11-30T21:15:34.819639,47.2
2025-11-30T21:15:35.784548,49.1
2025-11-30T21:15:37.820845,50.7
2025-11-30T21:15:37.827808,50.7
2025-11-30T21:15:38.779734,41.7
2025-11-30T21:15:39.786224,44.8
2025-11-30T21:15:39.792678,44.8
2025-11-30T21:15:40.817784,42.2
2025-11-30T21:15:41.787853,53.2
2025-11-30T21:15:41.829669,53.2
2025-11-30T21:15:42.543720,53.2
2025-11-30T21:15:43.785203,56.8
2025-11-30T21:15:46.804180,53.8
2025-11-30T21:15:48.766527,57.9
2025-11-30T21:15:49.773967,53.2
2025-11-30T21:15:50.769938,59.1
2025-11-30T21:15:51.780592,45.7
2025-11-30T21:15:51.785555,45.7
2025-11-30T21:15:52.528321,45.7
2025-11-30T21:15:52.765883,7.7
2025-11-30T21:15:53.771316,6.7
2025-11-30T21:15:56.938866,10.5
2025-11-30T21:15:57.784037,102.5
2025-11-30T21:15:57.825675,102.5
2025-11-30T21:15:58.771330,41.3
2025-11-30T21:15:59.786270,55.8
2025-11-30T21:15:59.798128,55.8
2025-11-30T21:15:59.980133,55.8
2025-11-30T21:16:02.563089,57.5
2025-11-30T21:16:04.767513,60.5
2025-11-30T21:16:05.768291,59.8
2025-11-30T21:16:08.849488,56.7
2025-11-30T21:16:09.764711,55.4
2025-11-30T21:16:10.767738,63.8
2025-11-30T21:16:11.765989,60.9
2025-11-30T21:16:12.518782,60.9
2025-11-30T21:16:12.766038,67.7
2025-11-30T21:16:13.765884,64.4
2025-11-30T21:16:14.767657,63
2025-11-30T21:16:16.769393,46.5
2025-11-30T21:16:17.778702,13.1
2025-11-30T21:16:17.787843,13.1
2025-11-30T21:16:21.821790,16.3
2025-11-30T21:16:21.829939,16.3
2025-11-30T21:16:22.517114,16.3
2025-11-30T21:16:22.780204,156.4
2025-11-30T21:16:23.780759,47.1
2025-11-30T21:16:23.787387,47.1
2025-11-30T21:16:24.763763,54.6
2025-11-30T21:16:25.780960,67
2025-11-30T21:16:25.787152,67
2025-11-30T21:16:28.888028,73.8
2025-11-30T21:16:29.776718,77.8
2025-11-30T21:16:29.784417,77.8
2025-11-30T21:16:31.784082,84
2025-11-30T21:16:31.793123,84
2025-11-30T21:16:32.518975,84
